id_materia,id_carrera,nombre
60101,76,ORIGEN DE LOS MATERIALES
6012,76,INTRODUCCION A LOS MATERIALES
60121,76,INTRODUCCION A LOS MATERIALES
0,76,GEOMETRIA Y TRIGONOMETRIA
41,76,ALGEBRA A
71,76,QUIMICA A
1005,76,METODOLOGIA DE LA INVESTIGACION
1006,76,TECNICAS DE COMUNICACION ORAL Y ESCRITA
711,76,QUIMICA A
4000,77,SEMINARIO DE ORIENTACION
4069,77,PROBLEMATICA AMBIENTAL
40691,77,PROBLEMATICA AMBIENTAL
4118,77,BIODIVERSIDAD Y EVOLUCION
41181,77,BIODIVERSIDAD Y EVOLUCION
0,77,GEOMETRIA Y TRIGONOMETRIA
41,77,ALGEBRA A
51,77,CALCULO A
71,77,QUIMICA A
1005,77,METODOLOGIA DE LA INVESTIGACION
711,77,QUIMICA A
5914,78,SEMINARIO DE ORIENTACION IEA
5676,78,DISENO ASISTIDO POR COMPUTADORA
0,78,GEOMETRIA Y TRIGONOMETRIA
41,78,ALGEBRA A
51,78,CALCULO A
61,78,FISICA A
71,78,QUIMICA A
1005,78,METODOLOGIA DE LA INVESTIGACION
1120,78,GEOMETRIA DESCRIPTIVA
611,78,FISICA A
711,78,QUIMICA A
5918,80,SEMINARIO DE ORIENTACION IMT
5688,80,HABILIDADES SOCIO AFECTIVAS Y ETICAS
5690,80,DIBUJO EN INGENIERIA MECANICA
0,80,GEOMETRIA Y TRIGONOMETRIA
41,80,ALGEBRA A
51,80,CALCULO A
61,80,FISICA A
71,80,QUIMICA A
1005,80,METODOLOGIA DE LA INVESTIGACION
611,80,FISICA A
711,80,QUIMICA A
3602,81,GEOLOGIA
3618,81,HERRAMIENTAS DE COMPUTO
3623,81,INTRODUCCION A LA TOPOGRAFIA Y CONSTRUCCION
3805,81,DIBUJO PARA INGENIEROS
0,81,GEOMETRIA Y TRIGONOMETRIA
41,81,ALGEBRA A
1005,81,METODOLOGIA DE LA INVESTIGACION
1120,81,GEOMETRIA DESCRIPTIVA
3874,82,INTRODUCCION A LAS CIENCIAS GEOESPACIALES
